symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent
ETHUSDT,normal,유동성 충분,12161828559.0,0.0005995850871191678,610917.81861,1668.04,2025-04-14 21:17:30,22,1245078.6818181819,3208626.17,555324.03,2.1609090909090907
TONUSDT,low,"주문장 깊이(74,474.03 USD)가 기준치(500,000 USD) 미만",83270142.86491,0.003497237182633106,74474.02853000001,2.8602,2025-04-14 21:17:30,7,618915.2814285716,1041567.21,89447.34,1.4142857142857141
XRPUSDT,normal,유동성 충분,1864510173.384,0.0046461924453008886,2599589.70763,2.1522,2025-04-14 21:17:31,23,1032971.1917391303,2751831.55,474034.6,2.8365217391304345
SUIUSDT,low,"주문장 깊이(483,355.53 USD)가 기준치(500,000 USD) 미만",634917466.56554,0.004300705315661746,483355.52504999994,2.3261,2025-04-14 21:17:32,10,738350.5900000001,1544049.44,136130.75,4.426
ENAUSDT,normal,유동성 충분,240011528.479,0.03183699458770741,1930798.2935000001,0.3142,2025-04-14 21:17:32,8,853045.7599999999,1245287.94,-13279.39,-1.0187500000000003
BTCUSDT,normal,유동성 충분,18380911542.03,0.0001179853296938031,1372288.0050000001,84765.7,2025-04-14 21:17:33,22,1047727.0027272728,3571444.88,435888.0299999999,1.2168181818181818
WIFUSDT,normal,유동성 충분,236241246.38533,0.022522522522520044,1066097.13315,0.4444,2025-04-14 21:17:34,15,658865.232,1359878.92,-37397.0,-0.27066666666666633
NEIROUSDT,low,"주문장 깊이(465,352.21 USD)가 기준치(500,000 USD) 미만",47727980.8256639,0.05431830526887693,465352.21041010006,0.0001842,2025-04-14 21:17:34,10,418813.585,794748.26,-111034.81999999999,-2.034
EIGENUSDT,low,"주문장 깊이(105,478.09 USD)가 기준치(500,000 USD) 미만",17122373.02817,0.023733238400377117,105478.09443,0.8438,2025-04-14 21:17:35,3,490717.6400000001,726986.9,-55821.6,-2.7733333333333334
DOGEUSDT,normal,유동성 충분,863467855.53377,0.00604631477113625,3080530.37371,0.16549,2025-04-14 21:17:35,6,654550.9316666668,1079716.08,-11493.57,0.36500000000000005
1000PEPEUSDT,low,"주문장 깊이(85,050.82 USD)가 기준치(500,000 USD) 미만",842364996.8449045,0.0013263127180162802,85050.81597709999,0.0075402,2025-04-14 21:17:36,3,548994.3733333334,759464.26,-21407.58,1.3
SOLUSDT,normal,유동성 충분,3957576995.7051,0.007536930961705536,6420677.3356,132.75,2025-04-14 21:17:37,41,1086256.294390244,2695023.85,600758.35,1.3153658536585366
BNBUSDT,low,"주문장 깊이(408,192.22 USD)가 기준치(500,000 USD) 미만",280609324.938,0.0016928780619916547,408192.2173,590.7,2025-04-14 21:17:37,8,1007722.9224999999,1477319.5,157034.19,1.58125
ORDIUSDT,low,"주문장 깊이(312,556.47 USD)가 기준치(500,000 USD) 미만",54003098.9463,0.015346838551263566,312556.4658,6.521,2025-04-14 21:17:38,2,456024.485,598974.55,-11149.019999999999,-1.04
INJUSDT,low,"주문장 깊이(298,484.76 USD)가 기준치(500,000 USD) 미만",56672563.157,0.012017786323752503,298484.761,8.321,2025-04-14 21:17:39,10,398949.739,752305.17,27243.82,0.07499999999999989
MOODENGUSDT,low,"주문장 깊이(126,296.75 USD)가 기준치(500,000 USD) 미만",81894578.48719,0.03528581510232742,126296.74805000001,0.02834,2025-04-14 21:17:39,2,226727.78,275057.01,27282.47,4.11
GOATUSDT,normal,유동성 충분,53205095.2874,0.19685039370079305,789182.5064999999,0.0509,2025-04-14 21:17:40,2,167442.56,190438.52,12759.93,4.3999999999999995
ADAUSDT,normal,유동성 충분,403239970.0658,0.015384615384613689,2027621.9321,0.6499,2025-04-14 21:17:41,5,430461.018,516467.11,80168.31,3.224
WLDUSDT,low,"주문장 깊이(427,668.00 USD)가 기준치(500,000 USD) 미만",71970178.5641,0.013119916032535947,427668.0025,0.762,2025-04-14 21:17:41,2,402332.31499999994,513618.47,66654.0,9.0
TRXUSDT,low,"주문장 깊이(390,996.56 USD)가 기준치(500,000 USD) 미만",196381454.80025,0.003907165741974682,390996.56493999995,0.25596,2025-04-14 21:17:42,3,523933.0433333333,751303.86,20380.61,1.1633333333333333
SANDUSDT,low,"주문장 깊이(51,962.26 USD)가 기준치(500,000 USD) 미만",43262316.89433,0.007522473389257908,51962.26054,0.26578,2025-04-14 21:17:43,1,340514.96,340514.96,-39508.43,-11.6
FTMUSDT,low,"주문장 깊이(0.00 USD)가 기준치(500,000 USD) 미만",80303756.7992,,0.0,0.7702,2025-04-14 21:17:44,2,294037.67,511010.99,-41576.350000000006,-4.905
ENSUSDT,low,"주문장 깊이(67,437.39 USD)가 기준치(500,000 USD) 미만",31710981.731,0.006635259770416335,67437.3858,15.061,2025-04-14 21:17:44,6,684071.0816666667,1037604.44,-899.9499999999971,0.09333333333333338
XLMUSDT,low,"주문장 깊이(111,338.93 USD)가 기준치(500,000 USD) 미만",64722804.45086,0.004067189978436672,111338.93191,0.24585,2025-04-14 21:17:45,4,380394.6875,422328.98,-4957.549999999999,-0.21999999999999997
LUNA2USDT,low,"24시간 거래량(5,552,423.84 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(245,255.11 USD)가 기준치(500,000 USD) 미만",5552423.838,0.06215040397763627,245255.1126,0.1609,2025-04-14 21:17:45,2,204696.41999999998,225942.29,23333.5,4.97
GLMUSDT,low,"주문장 깊이(9,592.49 USD)가 기준치(500,000 USD) 미만",20820305.63836,0.01196410767698106,9592.48972,0.25058,2025-04-14 21:17:46,1,100244.27,100244.27,-6017.18,-6.0
PNUTUSDT,low,"주문장 깊이(107,582.63 USD)가 기준치(500,000 USD) 미만",89208496.58583,0.0074354970629860965,107582.62635,0.13435,2025-04-14 21:17:47,1,347842.52,347842.52,-69516.1,-19.98
MEWUSDT,low,"주문장 깊이(291,365.00 USD)가 기준치(500,000 USD) 미만",24584813.087471,0.041169205434322724,291365.000966,0.002427,2025-04-14 21:17:48,1,290201.7,290201.7,-16818.57,-5.8
KAIAUSDT,low,"24시간 거래량(3,362,983.10 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(263,517.78 USD)가 기준치(500,000 USD) 미만",3362983.102,0.09842519685039652,263517.7766,0.1017,2025-04-14 21:17:48,1,78132.88,78132.88,32333.0,41.38
USUALUSDT,low,"주문장 깊이(283,325.20 USD)가 기준치(500,000 USD) 미만",49256480.3571,0.062266500622675434,283325.2031,0.1607,2025-04-14 21:17:49,4,619522.2125,744817.76,184234.7,5.930000000000001
ONDOUSDT,normal,유동성 충분,165148421.81347,0.011165698972766862,549013.37099,0.8947,2025-04-14 21:17:49,5,400025.576,650045.56,19780.87,2.6239999999999997
