Symbol,Direction,Max Size USDT,Volume,Realized PnL,Realized PnL %,Open Time,Close Time
ETHUSD,Short,1981559.79 USDT,3963119.58 USDT,-8046.88 USDT,-0.41 %,01/10/2024 18:35 UTC,01/11/2024 00:10 UTC
ETHUSD,Short,3718143.33 USDT,7436286.66 USDT,18364.35 USDT,0.49 %,01/11/2024 08:20 UTC,01/11/2024 12:58 UTC
ETHUSD,Short,4868979.77 USDT,10921155.22 USDT,19964.92 USDT,0.41 %,01/12/2024 20:29 UTC,01/17/2024 09:17 UTC
ETHUSD,Long,11116406.25 USDT,22232812.50 USDT,-21093.97 USDT,-0.19 %,01/23/2024 19:01 UTC,01/23/2024 19:02 UTC
BTCUSD,Short,5189210.98 USDT,10378421.96 USDT,-82005.65 USDT,-1.58 %,02/05/2024 05:03 UTC,02/05/2024 19:04 UTC
BTCUSD,Long,3476668.64 USDT,6953337.28 USDT,530394.92 USDT,15.26 %,02/08/2024 15:44 UTC,02/16/2024 15:53 UTC
BTCUSD,Long,2991296.78 USDT,5982593.56 USDT,217704.95 USDT,7.28 %,02/27/2024 09:34 UTC,02/28/2024 17:32 UTC
BTCUSD,Long,5016508.15 USDT,10033016.30 USDT,11401.08 USDT,0.23 %,03/04/2024 09:04 UTC,03/04/2024 09:49 UTC
ETHUSD,Short,4976481.40 USDT,9952962.80 USDT,2689.91 USDT,0.05 %,03/07/2024 10:04 UTC,03/07/2024 17:03 UTC
ETHUSD,Short,4967547.16 USDT,9935094.32 USDT,-17705.98 USDT,-0.36 %,03/09/2024 05:27 UTC,03/09/2024 15:34 UTC
ETHUSD,Short,9942063.83 USDT,19884127.66 USDT,-48524.85 USDT,-0.49 %,03/10/2024 06:28 UTC,03/10/2024 09:42 UTC
ETHUSD,Short,995129.07 USDT,1990258.14 USDT,1659.97 USDT,0.17 %,03/11/2024 09:05 UTC,03/11/2024 13:04 UTC
ETHUSD,Short,1489553.48 USDT,2979106.96 USDT,-802.00 USDT,-0.05 %,03/11/2024 17:01 UTC,03/11/2024 17:19 UTC
ETHUSD,Short,1492606.34 USDT,2985212.68 USDT,-3531.10 USDT,-0.24 %,03/11/2024 17:39 UTC,03/11/2024 17:46 UTC
BTCUSD,Long,1245764.24 USDT,2491528.48 USDT,-16710.78 USDT,-1.34 %,03/13/2024 17:52 UTC,03/14/2024 19:56 UTC
ETHUSD,Short,1492746.76 USDT,2985493.52 USDT,58597.68 USDT,3.93 %,03/15/2024 05:26 UTC,03/15/2024 13:52 UTC
BTCUSD,Short,1990253.76 USDT,3980507.52 USDT,65697.95 USDT,3.30 %,03/15/2024 17:08 UTC,03/15/2024 18:15 UTC
BTCUSD,Short,4971945.18 USDT,9943890.36 USDT,2693.12 USDT,0.05 %,03/16/2024 05:00 UTC,03/16/2024 07:49 UTC
BTCUSD,Short,2979805.65 USDT,5959611.30 USDT,224669.85 USDT,7.54 %,03/18/2024 17:01 UTC,03/19/2024 17:32 UTC
ETHUSD,Long,2986238.67 USDT,8958029.54 USDT,-18217.93 USDT,-0.61 %,03/20/2024 16:59 UTC,03/20/2024 17:59 UTC
ETHUSD,Long,2985593.78 USDT,5971187.56 USDT,-85.63 USDT,-0.00 %,03/20/2024 18:07 UTC,03/20/2024 19:40 UTC
SOLUSD,Short,4969706.49 USDT,9939412.97 USDT,-277764.23 USDT,-5.59 %,03/23/2024 13:00 UTC,03/25/2024 13:09 UTC
ETHUSD,Long,1756696.10 USDT,3513392.20 USDT,-20660.18 USDT,-1.18 %,03/27/2024 15:02 UTC,03/27/2024 16:35 UTC
BTCUSD,Long,10796103.48 USDT,21592206.96 USDT,-13385.15 USDT,-0.12 %,05/04/2024 13:47 UTC,05/04/2024 15:05 UTC
BTCUSD,Long,9933058.65 USDT,19866117.30 USDT,-2734.23 USDT,-0.03 %,05/10/2024 01:00 UTC,05/10/2024 01:45 UTC
ETHUSD,Long,4966355.14 USDT,9932710.28 USDT,5751.28 USDT,0.12 %,05/13/2024 12:40 UTC,05/13/2024 13:41 UTC
BTCUSD,Long,9931185.89 USDT,19862371.78 USDT,-13367.54 USDT,-0.13 %,05/15/2024 03:11 UTC,05/15/2024 03:26 UTC
BTCUSD,Long,10426323.09 USDT,20852646.18 USDT,35148.12 USDT,0.34 %,05/16/2024 09:00 UTC,05/28/2024 12:35 UTC
BTCUSD,Long,9932623.96 USDT,19865247.92 USDT,9417.74 USDT,0.09 %,05/28/2024 15:53 UTC,05/28/2024 17:49 UTC
BTCUSD,Long,9932859.69 USDT,19865719.38 USDT,-516731.56 USDT,-5.20 %,05/29/2024 09:32 UTC,06/14/2024 10:07 UTC
ETHUSD,Long,9932344.63 USDT,19864689.26 USDT,8178.94 USDT,0.08 %,07/05/2024 16:42 UTC,07/05/2024 17:37 UTC
ETHUSD,Long,9932109.20 USDT,19864218.40 USDT,407884.06 USDT,4.11 %,07/05/2024 18:05 UTC,07/06/2024 01:48 UTC
ETHUSD,Short,9933593.64 USDT,19867187.28 USDT,9912.55 USDT,0.10 %,07/06/2024 10:01 UTC,07/06/2024 10:04 UTC
ETHUSD,Long,9933023.83 USDT,19866047.66 USDT,274204.91 USDT,2.76 %,07/06/2024 15:01 UTC,07/07/2024 07:27 UTC
ETHUSD,Short,9932311.04 USDT,19864622.08 USDT,-142.25 USDT,-0.00 %,07/07/2024 08:20 UTC,07/07/2024 11:11 UTC
ETHUSD,Long,16568462.10 USDT,33136924.20 USDT,-134590.41 USDT,-0.81 %,07/08/2024 05:09 UTC,07/08/2024 15:55 UTC
ETHUSD,Short,9932671.35 USDT,19865342.70 USDT,-14432.35 USDT,-0.15 %,07/10/2024 03:19 UTC,07/10/2024 09:08 UTC
BTCUSD,Long,9932506.65 USDT,19865013.30 USDT,-3527.86 USDT,-0.04 %,08/01/2024 13:35 UTC,08/01/2024 23:32 UTC
BTCUSD,Long,9836590.01 USDT,19673180.02 USDT,15959.07 USDT,0.16 %,08/03/2024 04:07 UTC,08/03/2024 05:14 UTC
BTCUSD,Long,4982857.58 USDT,9965715.16 USDT,9522.95 USDT,0.19 %,08/10/2024 09:11 UTC,08/11/2024 18:39 UTC
BTCUSD,Long,4484589.00 USDT,8969178.00 USDT,6081.84 USDT,0.14 %,08/16/2024 01:39 UTC,08/20/2024 23:20 UTC
ETHUSD,Long,8939379.20 USDT,17878758.40 USDT,8807.32 USDT,0.10 %,09/21/2024 09:01 UTC,09/26/2024 02:27 UTC
ETHUSD,Long,8955518.83 USDT,17911037.66 USDT,104806.62 USDT,1.17 %,09/26/2024 03:08 UTC,09/27/2024 11:25 UTC
BTCUSD,Long,7968270.13 USDT,15936540.26 USDT,4723.31 USDT,0.06 %,09/27/2024 15:54 UTC,09/28/2024 18:09 UTC
BTCUSD,Long,8702594.29 USDT,27805188.58 USDT,14542.61 USDT,0.17 %,09/30/2024 09:00 UTC,10/09/2024 00:35 UTC
BTCUSD,Long,18028532.87 USDT,55265831.88 USDT,875786.82 USDT,4.86 %,10/10/2024 00:52 UTC,10/25/2024 08:55 UTC
BTCUSD,Long,7884421.86 USDT,15768843.72 USDT,130797.10 USDT,1.66 %,10/25/2024 08:59 UTC,10/29/2024 09:29 UTC
BTCUSD,Long,8960056.24 USDT,17920112.48 USDT,2601808.64 USDT,29.04 %,10/29/2024 09:30 UTC,12/22/2024 10:41 UTC
ETHUSD,Long,4972833.79 USDT,9945667.58 USDT,4495.10 USDT,0.09 %,01/14/2025 03:54 UTC,01/14/2025 04:17 UTC
ETHUSD,Long,4971328.53 USDT,9942657.06 USDT,444864.86 USDT,8.95 %,01/14/2025 09:05 UTC,01/16/2025 06:11 UTC
BTCUSD,Long,19901931.53 USDT,39803863.05 USDT,398383.52 USDT,2.00 %,01/16/2025 09:00 UTC,01/24/2025 04:49 UTC
BTCUSD,Short,9942446.67 USDT,19884893.34 USDT,-137516.26 USDT,-1.38 %,01/24/2025 09:06 UTC,01/24/2025 17:25 UTC
BTCUSD,Long,4971323.80 USDT,9942647.60 USDT,10661.34 USDT,0.21 %,02/03/2025 02:24 UTC,02/04/2025 02:02 UTC
BTCUSD,Long,9972307.51 USDT,29914408.52 USDT,1148825.24 USDT,11.52 %,02/28/2025 14:21 UTC,03/03/2025 02:00 UTC
BTCUSD,Long,4986055.09 USDT,9972110.18 USDT,9392.40 USDT,0.19 %,03/04/2025 04:28 UTC,03/04/2025 04:35 UTC
ETHUSD,Short,498612.68 USDT,997225.36 USDT,189.26 USDT,0.04 %,03/07/2025 17:00 UTC,03/07/2025 17:00 UTC
ETHUSD,Short,9972452.98 USDT,19944905.96 USDT,8532.51 USDT,0.09 %,03/07/2025 17:00 UTC,03/07/2025 17:14 UTC
BTCUSD,Long,12468689.08 USDT,24937378.18 USDT,69494.19 USDT,0.56 %,03/14/2025 10:09 UTC,03/16/2025 18:43 UTC
ETHUSD,Long,9946567.87 USDT,19893135.74 USDT,11235.46 USDT,0.11 %,03/21/2025 01:57 UTC,03/21/2025 02:23 UTC
BTCUSD,Long,9947740.53 USDT,19895481.06 USDT,10153.64 USDT,0.10 %,03/30/2025 02:18 UTC,03/31/2025 06:40 UTC
